,CreditScore,Geography,NumOfProducts,IsActiveMember,vader_lexicon_score,age_category
0,619,0,1,1,1,3
1,608,2,1,1,1,3
2,502,0,3,0,-1,3
3,699,0,2,0,1,2
4,850,2,1,1,1,3
5,645,2,2,0,-1,3
6,822,0,2,1,1,3
7,376,1,4,0,1,1
8,501,0,2,1,1,3
9,684,0,1,1,1,1
10,528,0,2,0,-1,1
11,497,2,2,0,-1,1
12,476,0,2,0,0,2
13,549,0,2,0,1,1
14,635,2,2,1,1,2
15,616,1,2,1,1,3
16,653,1,1,0,-1,4
17,549,2,2,1,1,1
18,587,2,1,0,1,3
19,726,0,2,1,1,1
20,732,0,2,1,1,3
21,636,2,2,0,1,1
22,510,2,1,0,-1,2
23,669,0,2,1,-1,3
24,846,0,1,1,1,2
25,577,0,2,1,-1,1
26,756,1,1,1,1,2
27,571,0,2,0,1,3
28,574,1,1,1,1,3
29,411,0,2,1,1,1
30,591,2,3,0,0,2
31,533,0,1,1,1,2
32,553,1,2,0,1,3
33,520,2,2,1,1,3
34,722,2,2,1,1,1
35,475,0,1,0,0,3
36,490,2,1,1,1,1
37,804,2,1,1,1,2
38,850,0,1,1,0,2
39,582,1,2,1,1,3
40,472,2,1,0,1,2
41,465,0,1,0,-1,4
42,556,0,1,1,1,4
43,834,0,1,0,0,3
44,660,2,1,1,1,4
45,776,1,2,1,1,1
46,829,1,1,1,-1,1
47,637,1,1,1,-1,2
48,550,1,1,1,1,2
49,776,1,2,0,1,2
50,698,1,2,0,1,3
51,585,1,2,0,1,2
52,788,0,2,0,1,2
53,655,1,1,0,0,3
54,601,1,1,0,-1,3
55,619,0,1,1,1,3
56,656,0,1,0,1,3
57,725,1,1,0,1,1
58,511,2,1,0,1,4
59,614,0,1,1,1,4
60,742,1,1,0,1,2
61,687,1,2,0,1,1
62,555,2,2,0,1,2
63,684,2,1,1,1,4
64,603,1,1,1,1,1
65,751,1,2,1,1,2
66,581,1,1,0,1,2
67,735,1,2,1,1,3
68,661,1,2,1,1,2
69,675,0,1,0,1,1
70,738,1,4,0,0,4
71,813,0,1,0,1,1
72,657,2,1,1,1,2
73,604,1,2,1,1,1
74,519,0,2,1,1,2
75,735,0,2,0,1,1
76,664,0,2,1,-1,4
77,678,0,1,1,0,1
78,757,2,1,1,1,2
79,416,1,2,0,1,3
80,665,0,2,0,1,2
81,777,0,1,0,0,1
82,543,0,2,0,-1,2
83,506,0,1,1,1,2
84,493,0,2,0,1,3
85,652,2,2,1,1,4
86,750,2,1,0,-1,1
87,729,0,2,0,0,1
88,646,0,3,0,-1,3
89,635,1,2,1,1,1
90,647,2,3,1,1,3
91,808,0,2,0,1,3
92,524,0,2,0,0,2
93,769,0,2,1,1,1
94,730,2,2,1,1,3
95,515,2,1,1,1,2
96,773,2,1,1,0,3
97,814,1,2,1,1,1
98,710,2,2,0,1,1
99,413,0,2,0,0,2
100,665,0,1,1,1,2
101,623,0,2,0,1,3
102,738,0,1,0,1,1
103,528,2,2,0,1,2
104,670,2,1,1,0,4
105,622,2,2,1,-1,3
106,582,1,1,1,1,1
107,785,1,1,1,1,2
108,605,2,1,0,1,2
109,479,1,1,0,0,2
110,685,1,1,1,1,1
111,538,1,2,0,1,2
112,562,0,1,0,1,3
113,675,2,1,1,-1,2
114,721,1,2,1,-1,1
115,628,1,2,1,1,1
116,668,1,1,0,1,2
117,506,0,2,0,1,3
118,524,1,1,0,1,1
119,699,1,2,0,1,2
120,828,0,2,0,1,2
121,674,2,1,0,1,2
122,656,0,2,0,1,2
123,684,1,1,1,0,3
124,625,0,1,0,1,1
125,432,0,1,0,-1,3
126,549,0,1,1,0,4
127,625,1,1,0,1,4
128,828,0,2,0,1,3
129,770,0,1,0,1,1
130,758,0,2,1,-1,2
131,795,1,1,1,-1,2
132,687,0,1,1,1,2
133,686,0,2,1,0,1
134,789,1,2,1,1,2
135,589,1,2,1,1,3
136,461,1,1,1,1,2
137,637,0,1,1,1,2
138,584,2,1,0,-1,3
139,579,2,2,1,1,2
140,756,1,1,0,1,3
141,663,0,2,1,-1,2
142,682,0,1,1,1,3
143,793,2,1,0,-1,4
144,691,0,1,0,-1,1
145,485,2,1,1,1,1
146,635,2,2,0,1,1
147,650,0,1,0,1,2
148,735,0,1,0,1,3
149,416,0,2,1,1,1
150,754,2,2,0,1,1
151,535,0,1,0,1,3
152,716,2,2,0,1,3
153,539,0,1,0,1,2
154,614,0,2,1,1,3
155,706,2,1,0,0,4
156,758,0,2,0,1,2
157,586,2,2,1,0,1
158,646,0,1,1,-1,4
159,631,1,1,0,1,2
160,717,2,1,1,-1,1
161,684,0,2,0,0,1
162,800,0,1,0,1,3
163,721,2,2,1,1,2
164,683,2,1,0,-1,1
165,660,1,2,1,1,1
166,704,1,1,0,-1,1
167,615,2,1,0,1,3
168,667,2,2,0,0,2
169,682,1,2,0,1,1
170,484,0,1,0,1,1
171,628,1,2,0,1,1
172,480,1,1,0,-1,3
173,578,0,1,0,0,1
174,512,0,2,1,1,2
175,484,2,1,1,1,2
176,510,0,2,1,1,1
177,606,1,2,0,1,2
178,597,2,1,1,0,2
179,754,1,1,0,-1,4
180,850,2,1,1,1,3
181,510,0,2,1,1,4
182,778,1,2,0,1,3
183,636,0,2,1,1,3
184,804,0,1,1,-1,3
185,514,0,2,0,1,1
186,730,0,1,0,1,2
187,525,2,1,1,1,2
188,616,2,2,1,1,1
189,687,1,2,0,1,2
190,715,0,2,0,-1,3
191,512,0,2,0,0,2
192,479,0,2,0,1,2
193,601,0,1,0,-1,1
194,580,2,2,0,-1,1
195,807,0,1,1,1,2
196,616,2,2,1,1,1
197,721,1,1,1,1,2
198,501,0,2,1,1,4
199,521,0,1,0,1,2
200,850,2,1,1,1,1
201,759,0,1,1,1,3
202,516,2,1,1,-1,3
203,711,0,2,1,-1,2
204,512,2,1,0,1,2
205,550,0,1,1,1,2
206,608,2,1,0,0,3
207,618,0,1,1,1,2
208,643,0,1,0,-1,3
209,671,0,1,1,1,3
210,689,1,2,0,1,2
211,603,0,2,1,0,1
212,620,0,2,0,1,3
213,676,0,1,1,0,2
214,572,1,2,0,1,1
